MANDT,MATNR,MEINH,UMREZ,UMREN,EANNR,EAN11,NUMTP,LAENG,BREIT,HOEHE,MEABM,VOLUM,VOLEH,BRGEW,GEWEI,MESUB,ATINN,MESRT,XFHDW,XBEWW,KZWSO,MSEHI,BFLME_MARM,GTIN_VARIANT,NEST_FTR,MAX_STACK,CAPAUSE,TY2TQ,ZZDADATE,ZZDATIME,GLCOMMITTIME,LAST_UPDATED
500,MAT-002211,ST,1,1,,,,3800.000,600.000,2500.000,MM,5700000000.000,MMQ,1190.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260213,134338,2026-02-13 13:44:00.786,2026-02-13 14:10:45.769
500,MAT-002478,ST,1,1,,,,0.000,0.000,0.000,,0.000,CCM,1.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260212,151459,2026-02-12 15:15:16.901,2026-02-12 15:39:54.797
500,MAT-002695,UN,1,1,,,,0.000,0.000,0.000,,0.000,,1.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260115,154705,2026-01-15 15:47:12.782,2026-01-15 16:10:07.397
500,MAT-003577,ST,1,1,,,,0.000,0.000,0.000,,0.000,,5.500,KG,,0000000000,00,,,,,,,0,0,0.000,,20260203,192705,2026-02-03 19:27:13.188,2026-02-03 19:38:59.513
500,MAT-000529,KG,100,471,,,,0.000,0.000,0.000,,0.000,,0.000,,,0000000000,00,,,,,,,0,0,0.000,,20260218,182417,2026-02-18 18:24:28.302,2026-02-18 18:39:02.310
500,MAT-003068,ST,1,1,,,,119.000,79.000,63.000,CM,0.592,M3,110.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260122,192055,2026-01-22 19:22:08.679,2026-01-22 19:39:01.505
500,MAT-003612,ST,1,1,,,,0.000,0.000,0.000,MM,0.000,MMQ,1.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260303,182203,2026-03-03 18:22:14.506,2026-03-03 18:39:17.566
500,MAT-002170,ST,1,1,,,,0.000,0.000,0.000,MM,5.200,MMQ,420.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260123,195413,2026-01-23 19:54:23.749,2026-01-23 20:10:20.348
500,MAT-000831,ST,1,1,,,,320.000,468.000,471.000,MM,70536960.000,MMQ,44.183,KG,,0000000000,00,,,,,,,0,0,0.000,,20260302,112232,2026-03-02 11:27:21.966,2026-03-02 11:41:03.937
500,MAT-002799,ST,1,1,,,,500.000,470.000,300.000,MM,70500000.000,MMQ,1.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260226,195957,2026-02-26 20:01:20.650,2026-02-26 20:09:30.355
500,MAT-000983,ST,1,1,,,,100.000,100.000,100.000,MM,1000000.000,MMQ,3.500,KG,,0000000000,00,,,,,,,0,0,0.000,,20260114,115645,2026-01-14 11:56:59.887,2026-01-14 12:11:02.021
